Date,Open,High,Low,Close,Volume
"Sep 9, 2021",9.59,10.17,9.3,9.31,"50,045,986"
"Sep 10, 2021",9.09,9.33,8.56,8.59,"28,651,611"
"Sep 13, 2021",8.65,8.71,8.29,8.37,"17,992,900"
"Sep 14, 2021",8.4,8.76,8.22,8.3,"15,292,178"
"Sep 15, 2021",8.29,8.41,8.09,8.17,"18,114,141"
"Sep 16, 2021",8.3,8.62,8.07,8.14,"29,421,393"
"Sep 17, 2021",8.17,8.32,8.02,8.31,"22,348,918"
"Sep 20, 2021",7.99,8.2,7.74,7.85,"21,838,623"
"Sep 21, 2021",7.9,7.94,7.72,7.77,"15,609,162"
"Sep 22, 2021",7.99,8.13,7.78,7.88,"21,247,133"
"Sep 23, 2021",7.93,8.02,7.78,7.9,"15,935,639"
"Sep 24, 2021",7.85,7.96,7.64,7.73,"15,483,018"
"Sep 27, 2021",7.72,8.2,7.57,8.1,"20,768,629"
"Sep 28, 2021",7.96,8.03,7.61,7.86,"20,969,959"
"Sep 29, 2021",7.76,7.81,7.36,7.4,"18,340,290"
"Sep 30, 2021",7.42,7.55,7.23,7.39,"11,987,631"
"Oct 1, 2021",7.51,7.53,7.25,7.47,"11,086,681"
"Oct 4, 2021",7.45,7.45,7.09,7.14,"10,609,303"
"Oct 5, 2021",7.13,7.39,7.09,7.24,"7,558,829"
"Oct 6, 2021",7.12,7.38,7.07,7.36,"6,988,660"
"Oct 7, 2021",7.4,7.57,7.3,7.4,"7,427,344"
"Oct 8, 2021",7.41,8.08,7.32,7.85,"30,401,109"
"Oct 11, 2021",7.89,8.28,7.89,8.06,"17,759,188"
"Oct 12, 2021",7.99,8.22,7.8,8.02,"11,267,781"
"Oct 13, 2021",8.01,8.07,7.85,8.05,"7,636,463"
"Oct 14, 2021",7.97,8.58,7.95,8.12,"18,767,897"
"Oct 15, 2021",8.14,8.14,7.83,7.91,"8,917,136"
"Oct 18, 2021",7.89,8.05,7.75,7.89,"6,289,511"
"Oct 19, 2021",7.92,8.13,7.7,7.92,"15,199,544"
"Oct 20, 2021",7.87,8.21,7.83,7.84,"13,270,876"
"Oct 21, 2021",7.88,8.04,7.83,7.86,"9,076,608"
